cone_barcode,order_no,article_number,current_issue_status,current_weight_db,actual_weight,location_to_allocate
699aa55d4583baeaf6e57a25,ORD-000028,A052,not_issued,1.046,1.104,B7-01-S0030-F02
699aa55d4583baeaf6e57a51,ORD-000028,A052,not_issued,0.781,0.836,B7-01-S0030-F02
699c44544583baeaf6e81274,ORD-000022,A4426,issued,0.242,0.246,B7-01-S0016-F01
699c44544583baeaf6e81275,ORD-000022,A4426,issued,0.548,0.532,B7-01-S0016-F01
699c44544583baeaf6e81276,ORD-000022,A4426,issued,1.09,0.402,B7-01-S0016-F01
699c44544583baeaf6e8127a,ORD-000022,A4426,issued,0.218,0.004,B7-01-S0016-F01
699c44544583baeaf6e8127b,ORD-000022,A4426,issued,1.096,0.462,B7-01-S0016-F01
699c44544583baeaf6e8127c,ORD-000022,A4426,issued,0.698,0.694,B7-01-S0016-F01
699c44544583baeaf6e8127f,ORD-000022,A4426,issued,0.446,0.45,B7-01-S0016-F01
699da719c926fc0fe856e81a,,,not_issued,0.242,0.222,B7-01-S0013-F02
699ea677c926fc0fe85884db,ORD-000003,A6190,not_issued,0.35,0.36,B7-01-S0013-F02
699ea677c926fc0fe85884e0,ORD-000003,A6190,not_issued,0.284,0.33,B7-01-S0013-F02
69a4155b93145c5b28552f57,ORD-000004,A5448,not_issued,1.049,0.22,B7-01-S0043-F02
69a4155b93145c5b28552f61,ORD-000024,A6302,issued,0.886,0.6440001,B7-01-S0043-F02
69a524cc93145c5b28554cc0,,,not_issued,0.342,0.326,B7-01-S0036-F03
69a5253d93145c5b28554e36,ORD-000008,A5912,not_issued,0.666,0.768,B7-01-S0036-F03
69a5253d93145c5b28554e39,ORD-000008,A5912,not_issued,0.592,0.692,B7-01-S0036-F03
69a565a093145c5b28578d7b,ORD-000024,A6302,issued,0.948,0.684,B7-01-S0036-F03
69a565a093145c5b28578d82,ORD-000024,A6302,issued,0.896,0.386,B7-01-S0036-F03
69a565f193145c5b28578e39,,,not_issued,1.082,1.036,B7-01-S0036-F03
69a565f193145c5b28578e44,,,not_issued,1.054,1.026,B7-01-S0036-F03
69a9142a93145c5b2859f803,ORD-000024,A6216,issued,2.478,0.404,B7-01-S0030-F02
69a9789793145c5b285a38ec,,,not_issued,2.068,0.002,B7-01-S0030-F02
69aacdae93145c5b285a6ddb,ORD-000024,A6216,issued,1.242,0.04,B7-01-S0030-F02
69afc7f375ce3cd7dfb05318,,,not_issued,0.11,0.002,B7-01-S0036-F03
69b0e7ff05b3bddb85280606,ORD-000006,A224,not_issued,0.019,0.102,B7-01-S0036-F03
69b1165905b3bddb852811d8,ORD-000013,A6322,not_issued,0.113,0.152,B7-01-S0040-F01
